dong_name,gu_name,2007-12-31T15:00:00.000Z,2008-01-31T15:00:00.000Z,2008-02-29T15:00:00.000Z,2008-03-31T15:00:00.000Z,2008-04-30T15:00:00.000Z,2008-05-31T15:00:00.000Z,2008-06-30T15:00:00.000Z,2008-07-31T15:00:00.000Z,2008-08-31T15:00:00.000Z,2008-09-30T15:00:00.000Z,2008-10-31T15:00:00.000Z,2008-11-30T15:00:00.000Z,2008-12-31T15:00:00.000Z,2009-01-31T15:00:00.000Z,2009-02-28T15:00:00.000Z,2009-03-31T15:00:00.000Z,2009-04-30T15:00:00.000Z,2009-05-31T15:00:00.000Z,2009-06-30T15:00:00.000Z,2009-07-31T15:00:00.000Z,2009-08-31T15:00:00.000Z,2009-09-30T15:00:00.000Z,2009-10-31T15:00:00.000Z,2009-11-30T15:00:00.000Z,2009-12-31T15:00:00.000Z,2010-01-31T15:00:00.000Z,2010-02-28T15:00:00.000Z,2010-03-31T15:00:00.000Z,2010-04-30T15:00:00.000Z,2010-05-31T15:00:00.000Z,2010-06-30T15:00:00.000Z,2010-07-31T15:00:00.000Z,2010-08-31T15:00:00.000Z,2010-09-30T15:00:00.000Z,2010-10-31T15:00:00.000Z,2010-11-30T15:00:00.000Z,2010-12-31T15:00:00.000Z,2011-01-31T15:00:00.000Z,2011-02-28T15:00:00.000Z,2011-03-31T15:00:00.000Z,2011-04-30T15:00:00.000Z,2011-05-31T15:00:00.000Z,2011-06-30T15:00:00.000Z,2011-07-31T15:00:00.000Z,2011-08-31T15:00:00.000Z,2011-09-30T15:00:00.000Z,2011-10-31T15:00:00.000Z,2011-11-30T15:00:00.000Z,2011-12-31T15:00:00.000Z,2012-01-31T15:00:00.000Z,2012-02-29T15:00:00.000Z,2012-03-31T15:00:00.000Z,2012-04-30T15:00:00.000Z,2012-05-31T15:00:00.000Z,2012-06-30T15:00:00.000Z,2012-07-31T15:00:00.000Z,2012-08-31T15:00:00.000Z,2012-09-30T15:00:00.000Z,2012-10-31T15:00:00.000Z,2012-11-30T15:00:00.000Z,2012-12-31T15:00:00.000Z,2013-01-31T15:00:00.000Z,2013-02-28T15:00:00.000Z,2013-03-31T15:00:00.000Z,2013-04-30T15:00:00.000Z,2013-05-31T15:00:00.000Z,2013-06-30T15:00:00.000Z,2013-07-31T15:00:00.000Z,2013-08-31T15:00:00.000Z,2013-09-30T15:00:00.000Z,2013-10-31T15:00:00.000Z,2013-11-30T15:00:00.000Z,2013-12-31T15:00:00.000Z,2014-01-31T15:00:00.000Z,2014-02-28T15:00:00.000Z,2014-03-31T15:00:00.000Z,2014-04-30T15:00:00.000Z,2014-05-31T15:00:00.000Z,2014-06-30T15:00:00.000Z,2014-07-31T15:00:00.000Z,2014-08-31T15:00:00.000Z,2014-09-30T15:00:00.000Z,2014-10-31T15:00:00.000Z,2014-11-30T15:00:00.000Z,2014-12-31T15:00:00.000Z,2015-01-31T15:00:00.000Z,2015-02-28T15:00:00.000Z,2015-03-31T15:00:00.000Z,2015-04-30T15:00:00.000Z,2015-05-31T15:00:00.000Z,2015-06-30T15:00:00.000Z,2015-07-31T15:00:00.000Z,2015-08-31T15:00:00.000Z,2015-09-30T15:00:00.000Z,2015-10-31T15:00:00.000Z,2015-11-30T15:00:00.000Z,2015-12-31T15:00:00.000Z,2016-01-31T15:00:00.000Z,2016-02-29T15:00:00.000Z,2016-03-31T15:00:00.000Z,2016-04-30T15:00:00.000Z,2016-05-31T15:00:00.000Z,2016-06-30T15:00:00.000Z,2016-07-31T15:00:00.000Z,2016-08-31T15:00:00.000Z,2016-09-30T15:00:00.000Z,2016-10-31T15:00:00.000Z,2016-11-30T15:00:00.000Z,2016-12-31T15:00:00.000Z,2017-01-31T15:00:00.000Z,2017-02-28T15:00:00.000Z,2017-03-31T15:00:00.000Z,2017-04-30T15:00:00.000Z,2017-05-31T15:00:00.000Z,2017-06-30T15:00:00.000Z,2017-07-31T15:00:00.000Z,2017-08-31T15:00:00.000Z,2017-09-30T15:00:00.000Z,2017-10-31T15:00:00.000Z,2017-11-30T15:00:00.000Z,2017-12-31T15:00:00.000Z,2018-01-31T15:00:00.000Z,2018-02-28T15:00:00.000Z,2018-03-31T15:00:00.000Z,2018-04-30T15:00:00.000Z,2018-05-31T15:00:00.000Z,2018-06-30T15:00:00.000Z,2018-07-31T15:00:00.000Z,2018-08-31T15:00:00.000Z,2018-09-30T15:00:00.000Z,2018-10-31T15:00:00.000Z,2018-11-30T15:00:00.000Z,2018-12-31T15:00:00.000Z,2019-01-31T15:00:00.000Z,2019-02-28T15:00:00.000Z,2019-03-31T15:00:00.000Z,2019-04-30T15:00:00.000Z,2019-05-31T15:00:00.000Z,2019-06-30T15:00:00.000Z,2019-07-31T15:00:00.000Z,2019-08-31T15:00:00.000Z,2019-09-30T15:00:00.000Z,2019-10-31T15:00:00.000Z,2019-11-30T15:00:00.000Z,2019-12-31T15:00:00.000Z,2020-01-31T15:00:00.000Z,2020-02-29T15:00:00.000Z,2020-03-31T15:00:00.000Z,2020-04-30T15:00:00.000Z,2020-05-31T15:00:00.000Z,2020-06-30T15:00:00.000Z,2020-07-31T15:00:00.000Z,2020-08-31T15:00:00.000Z,2020-09-30T15:00:00.000Z,2020-10-31T15:00:00.000Z,2020-11-30T15:00:00.000Z,2020-12-31T15:00:00.000Z,2021-01-31T15:00:00.000Z,2021-02-28T15:00:00.000Z,2021-03-31T15:00:00.000Z,2021-04-30T15:00:00.000Z,2021-05-31T15:00:00.000Z,2021-06-30T15:00:00.000Z,2021-07-31T15:00:00.000Z,2021-08-31T15:00:00.000Z,2021-09-30T15:00:00.000Z,2021-10-31T15:00:00.000Z,2021-11-30T15:00:00.000Z,2021-12-31T15:00:00.000Z,2022-01-31T15:00:00.000Z,2022-02-28T15:00:00.000Z,2022-03-31T15:00:00.000Z,2022-04-30T15:00:00.000Z,2022-05-31T15:00:00.000Z,2022-06-30T15:00:00.000Z,2022-07-31T15:00:00.000Z,2022-08-31T15:00:00.000Z,2022-09-30T15:00:00.000Z,2022-10-31T15:00:00.000Z,2022-11-30T15:00:00.000Z,2022-12-31T15:00:00.000Z,2023-01-31T15:00:00.000Z,2023-02-28T15:00:00.000Z,2023-03-31T15:00:00.000Z,2023-04-30T15:00:00.000Z,2023-05-31T15:00:00.000Z,2023-06-30T15:00:00.000Z,2023-07-31T15:00:00.000Z,2023-08-31T15:00:00.000Z,2023-09-30T15:00:00.000Z,2023-10-31T15:00:00.000Z,2023-11-30T15:00:00.000Z,2023-12-31T15:00:00.000Z,2024-01-31T15:00:00.000Z,2024-02-29T15:00:00.000Z,2024-03-31T15:00:00.000Z,2024-04-30T15:00:00.000Z,2024-05-31T15:00:00.000Z,2024-06-30T15:00:00.000Z,2024-07-31T15:00:00.000Z
개포동,강남구,3037.49,3030.56,3023.82,3009.56,2970.05,2944.76,2896.83,2841.5,2760.09,2677.6,2607.15,2537.15,2568.24,2638.53,2685.71,2774.79,2819.77,2872.63,2946.25,3024.81,3025.09,3006.25,2961.95,2929.09,2956.58,2948.71,2907.65,2855.46,2813.75,2778.27,2756.76,2739.26,2745.97,2747.26,2762.79,2794.87,2792.9,2780.62,2757.42,2727.84,2692.77,2683.47,2670.7,2662.46,2644.07,2626.05,2592.73,2553.3,2538.23,2514.51,2486.54,2459.12,2447.43,2418.27,2370.06,2350.74,2315.41,2304.67,2294.24,2270.21,2274.49,2284.58,2310.65,2326.37,2331.19,2320.02,2309.61,2299.2,2307.58,2331.61,2339.82,2335.19,2359.3,2400.19,2408.47,2424.25,2428.25,2436.28,2459.25,2494.54,2514.4,2528.95,2523.17,2520.47,2555.15,2587.72,2614.93,2641.47,2672.07,2699.44,2732.3,2796.25,2825.08,2850.76,2856.43,2868.42,2849.31,2827.96,2859.9,2949.35,3074.74,3186.21,3258.67,3315.49,3327.19,3355.55,3317.34,3283.15,3272.99,3277.05,3303.45,3373.02,3479.79,3571.77,3698.51,3725.9,3765.34,3827.43,3944.34,4112.17,4306.98,4397.95,4421.1,4423.24,4454.19,4489.06,4601.1,4856.99,5004.59,4968.93,4891.14,4855.63,4819.18,4722.83,4824.95,4834.54,5034.67,5202.27,5386.32,5493.01,5577.4,5697.06,5815.81,5896.79,5909.1,5911.68,5910.59,5925.88,5960.09,6070.56,6194.71,6644.3,6696.55,6521.27,6805.69,6794.09,7164.7,7282.14,7312.21,7368.66,7479.55,7579.13,7659.73,7685.88,7688.9,7754.17,7746.99,7723.68,7686.65,7667.57,7633.38,7573.17,7526.72,7459.11,7390.3,7181.75,7274.63,7139.99,7012.33,6946.68,7056.01,7139.43,7220.71,7307.08,7410.12,7425.04,7483.68,7487.6,7588.38,7610.52,7408.89,7558.35,7583.28,7588.6,7607.11,7576.86,7657.02,7712.51,7876.76,7876.76
논현동,강남구,2095.25,2094.08,2100.21,2078.95,2092.75,2077.78,2047.63,2031.78,2017.05,2001.98,1983.75,1971.59,1966.1,1988.52,1986.08,1996.8,2007.02,2054.54,2079.51,2096.64,2128.95,2118.76,2110.57,2108.11,2107.4,2098.4,2097.24,2088.45,2074.09,2065.91,2075.25,2085.44,2097.41,2078.17,2085.33,2100.73,2117.02,2121.71,2132.43,2118.13,2103.13,2100.11,2098.63,2108.78,2099.78,2092.94,2083.1,2064.13,2088.71,2118.19,2106.13,2098.68,2098.52,2093.36,2082.92,2095.18,2089.35,2091.1,2090.07,2107.71,2106.77,2102.4,2102.81,2104.82,2107.13,2112.74,2106.01,2111.03,2107.67,2119.39,2121.25,2120.87,2127.45,2137.87,2148.37,2163.29,2171.25,2167.91,2169.21,2172.12,2185.74,2196.59,2207.99,2223.18,2255.62,2269.33,2274.9,2288.69,2310.06,2326.27,2337.95,2351.73,2397.46,2410.35,2425.43,2441.03,2443.04,2448.5,2453.72,2466.73,2480.9,2502.61,2526.81,2554.19,2589.81,2619.27,2634.03,2636.26,2630.35,2633.2,2660.41,2677.44,2725.98,2758.32,2787.32,2813.16,2835.97,2863.88,2894.29,2978.79,3047.41,3103.5,3146.55,3171.27,3188.17,3199.86,3228.66,3283,3350.27,3352.02,3361.51,3371.25,3378.51,3385.53,3389.65,3380.25,3402.75,3444.67,3473.46,3523.57,3573.26,3621.65,3665.68,3710.81,3715.99,3729.63,3739.18,3756.15,3775.44,3829.26,3865.64,3894.15,3914.51,3952.05,3984.11,4042.85,4084.99,4133.64,4169.21,4204.09,4269.52,4327.37,4376.77,4417.72,4432.18,4440.43,4448.55,4459.18,4470.57,4479.03,4481.86,4476.58,4468.32,4462.64,4450.13,4435.6,4424.13,4411.02,4398.21,4385.38,4372.54,4359.7,4349.82,4352.76,4348.49,4350.27,4346.5,4314.55,4321.96,4323.02,4324.34,4322.33,4341.89,4348.69,4353.51,4355.64,4361.06,4373.75,4417.48,4417.48
대치동,강남구,3594.1,3590.06,3577.83,3556.06,3501.09,3439.55,3383.14,3327.87,3293.56,3137.99,3081.05,2983.33,3051.96,3116.85,3167.54,3274.8,3333.04,3377.69,3451.85,3555.97,3549.16,3498.41,3481.34,3471.28,3477.75,3463.08,3465.67,3342.4,3275.88,3234.08,3209.17,3199.78,3224.27,3228.66,3291.06,3264.11,3274.03,3270.63,3230.37,3197.93,3171.3,3182.98,3185.6,3197.92,3186.14,3148.17,3113.62,3060.94,2985.21,2935.46,2896.41,2876.41,2892.44,2864.12,2814.35,2791.85,2764.19,2762.53,2729.49,2685.07,2678.23,2698.86,2743.06,2773.91,2775.55,2737.22,2712.86,2724.53,2757.3,2778.26,2762.74,2781.85,2819.39,2869.93,2913.77,2905.21,2895.85,2911.35,2938.61,2989.14,3045.08,3036.92,3036.19,3060.28,3081.85,3111.3,3133.18,3177.68,3202.71,3234.78,3301.61,3319.87,3333.24,3375.46,3372.35,3347.75,3360.96,3366.32,3386.49,3463.69,3506.47,3597.93,3638.76,3711.32,3811.65,3868.52,3814.22,3786.94,3791.17,3811.66,3851.32,3891.91,3959.18,4042.88,4163.97,4198.18,4285.56,4408.47,4534.56,4703.15,4951.79,4981.86,5002.77,5035.37,5053.61,5077.35,5138.27,5344.13,5486.26,5425.81,5335.81,5263.24,5225.39,5197.9,5218.32,5308.33,5454.17,5578.47,5715.98,5819.45,5942.33,6115.47,6330.99,6445.06,6367.11,6287.46,6231.09,6138.78,6229.38,6376.63,6537.87,6665.39,6682.45,6706.05,6712.56,6829.7,6956.18,7028.41,7079.56,7119.58,7180.33,7283.37,7347.24,7444.48,7527.96,7616.61,7683.41,7617.47,7566.59,7554.75,7573.65,7589.87,7595.23,7561.74,7514.19,7393.93,7269.72,7152.44,7031.48,6970.53,6925.34,6959.78,6986.63,7040.1,7144.36,7193.17,7312.45,7403.6,7472.83,7542.95,7527.96,7516.05,7487.73,7493.81,7498.11,7510.39,7577.42,7663.46,7682.98,7682.98
도곡동,강남구,3223.52,3225.15,3204.49,3215.53,3182.36,3128.7,3107.04,3074.54,3039.31,2988,2926.76,2871.45,2862.85,2873.62,2935.44,2979.98,3008.94,3063.02,3087.02,3109.69,3134.68,3096.36,3080.84,3077.67,3116.84,3121.97,3099.58,3065.61,3016.85,2978.56,2971.46,2959.06,2942.01,2946.7,2957.51,3000.2,3007.78,3041.86,2996.16,2995.79,2989.11,2983.53,2959.53,2945.65,2929.37,2902.68,2885.01,2840.37,2827.96,2799.28,2753.15,2735.78,2747.18,2710.53,2703.23,2687.38,2669.46,2661.19,2616.26,2599.69,2624.73,2601.89,2630.3,2631.06,2614.66,2616.65,2616.65,2601.86,2604.41,2644.96,2641.76,2662.16,2685.29,2709.85,2718.36,2707.64,2709.97,2722.04,2746.25,2753.79,2797.4,2788.92,2782.88,2792.34,2832.38,2866.37,2860.97,2889.41,2925.45,2940.3,2955.08,2963.48,2962.35,2997.36,2971.04,2949.47,2972.88,2966.07,2955.8,2966.46,2989.31,3039.22,3053.68,3086.73,3101.16,3131.18,3120.21,3123.93,3124.34,3124.46,3172.47,3179.87,3237.47,3287.86,3314.52,3347.04,3387.58,3426.6,3468.99,3543.12,3720.25,3796.66,3852.67,3884.2,3882.94,3909.41,3948.24,4057.8,4190.65,4202.57,4182.52,4151.21,4117.33,4102.84,4094.77,4134.27,4169.29,4251.25,4331.49,4444.49,4527.07,4646.23,4781.46,4854.58,4835.03,4795.29,4829.21,4850.25,4890.11,5007.97,5177.11,5274.3,5342.97,5390.97,5405.2,5443.09,5573.96,5633.91,5649.88,5751.99,5830.67,5937.64,6051.02,6139.28,6243.34,6288.37,6293.05,6294.82,6293.77,6285.78,6273.59,6262.63,6266.34,6240.53,6240.05,6205.73,6128.55,6080.03,6030.22,5980.36,5931.96,5938.15,5955.67,5981.16,6038.34,6091.58,6134.42,6141.28,6163.91,6163.56,6158.4,6121.85,6143.84,6145.45,6124.16,6114.6,6158.71,6251.28,6311.43,6311.43
삼성동,강남구,2884.71,2881.26,2888.6,2888.88,2877.12,2868.73,2850.94,2815.41,2785.75,2754.7,2726.02,2721.57,2697.84,2710.34,2751.96,2749.3,2796.39,2826.51,2879.29,2900.88,2904.31,2920.53,2912.65,2893.95,2911,2921.2,2922.95,2923.15,2915.01,2888.83,2879.99,2869.14,2863.17,2866.82,2900,2883.59,2893.82,2918.12,2860.05,2912.66,2901.25,2886.93,2872.84,2854.69,2831.68,2812.95,2797.32,2768.7,2785.47,2799.27,2805.25,2783.75,2762.05,2760.4,2759.31,2748.9,2733.67,2720.42,2720.58,2699.81,2688.55,2691.26,2694.96,2700.93,2725.13,2722.88,2685.76,2680.46,2680.94,2690.53,2703.91,2721.72,2730.07,2726.09,2759.02,2818.99,2811.9,2806.51,2800.5,2800.83,2822.24,2848.52,2863.94,2870.25,2885.62,2922.34,2946.75,2977.47,2983.09,3024.15,3058.78,3072.6,3050.52,3086.5,3151.67,3180.45,3185.62,3189.33,3193.81,3227.23,3226.39,3283.51,3316.33,3344.63,3380.41,3423.35,3442.91,3449.48,3463.37,3487.25,3524.3,3542.51,3607.37,3683.16,3739.76,3810.58,3846.8,3950.15,4029.02,4096.11,4197.84,4242.36,4308.85,4327.89,4351.5,4390.81,4436.79,4553.2,4613.67,4642.25,4647.82,4659.39,4680.17,4701.44,4689.89,4673.59,4746.51,4817.92,4900.05,4982.19,5048.95,5103.39,5197.62,5247.39,5276.07,5300.78,5304.83,5305.29,5300.98,5382.57,5424.89,5469.75,5513.92,5548.28,5581.95,5615.92,5691.55,5758.06,5775.67,5806.34,5836.59,5874.76,5917.87,5984.8,6067.7,6169.84,6269.43,6301.73,6291.46,6323.15,6320.05,6315.53,6223,6254.64,6282.69,6310.79,6290.98,6270.74,6250.32,6229.9,6224.6,6219.49,6238.64,6270.39,6288.15,6292.13,6339.75,6362.2,6404.87,6443.64,6452.48,6455.24,6458.41,6394.22,6388.83,6387.25,6403.6,6416.38,6377.49,6377.49
세곡동,강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.28,1367.03,1401.77,1401.11,1398.74,1383.25,1367.86,1372.09,1431.9,1408.41,1486.33,1499.5,1496.54,1431.65,1434.04,1454.92,1477.99,1482.38,1488,1493.61,1493.79,1513.43,1533.07,1552.7,1573.81,1594.91,1600.98,1605.19,1608.95,1616.22,1613.44,1611.18,1601.77,1635.51,1616.59,1648.67,1670.07,1674.54,1662.79,1678.1,1680.3,1683.83,1691.84,1812.83,1822.45,1832.45,1857.66,1872.84,1900.93,1900.62,1910.92,1901.97,1911.95,1924.99,1937.51,1935.53,2005.1,2059.46,2044.29,2074.42,2108.47,2103.63,2114.07,2103.55,2089.2,2119,2146.01,2153.65,2168.46,2187.7,2232.19,2279.5,2323.76,2326.66,2322.23,2332.5,2343.59,2363.62,2381.89,2407.7,2420.91,2475.76,2514.74,2572,2615.64,2665.03,2718.56,2812.18,2940.91,3059.27,3097,3117.54,3139.09,3166.42,3187.52,3285.45,3281.13,3287.02,3281.76,3276.5,3271.74,3266.98,3252.3,3229.99,3229.29,3259.12,3337.18,3351.17,3452.02,3524.06,3632.49,3675.9,3725.14,3776.33,3805.62,3833.92,3877.07,4017.32,4154.96,4251.72,4330.72,4410.41,4456.96,4512.27,4575,4637.49,4683.55,4716.45,4742.43,4770.68,4784.23,4783.82,4781.61,4767.36,4732.3,4697.28,4662.26,4627.25,4593.33,4559.41,4525.35,4491.29,4457.24,4423.18,4389.12,4350.96,4312.8,4274.63,4236.47,4201.76,4182.81,4165.04,4142.19,4155.37,4157.13,4157.11,4154.67,4152.24,4154.06,4152.01,4163.93,4167.18,4165.93,4172.94,4230.08,4318.01,4318.01
수서동,강남구,2212.71,2236.79,2232.76,2241.81,2253.32,2221.8,2165.48,2141.22,2113.92,2067.53,2020.08,1962.36,1917.3,1910.38,1905.44,1955,1994.89,2041.75,2099.94,2127.07,2162.28,2114.94,2111.17,2085.19,2107.69,2132.11,2079.78,2042.65,2035.77,2028.09,2016.31,2004.08,2019.24,1978.72,2048.09,2059.34,2145.82,2088.89,2107.2,2115.48,2125.1,2079.28,2118.89,2145.99,2120.79,2125.43,2107.86,2078.86,2074.43,2049.46,1998.4,1981.89,1951.7,1911.31,1907.49,1853.34,1919.06,1908.88,1947.5,1940.67,1960.21,1920.56,1962.98,1957.64,1982.75,1926.49,1951.75,1965.04,1948.68,1943.19,1966.55,1957.95,1981.24,1984.25,2004.52,1999.98,2017.85,2018.84,2039.89,2063,2058.4,2069.95,2078.43,2086.92,2110.06,2129.78,2178.55,2195.54,2231.95,2262.08,2291.1,2322.61,2310.52,2370.49,2389.59,2439.33,2425.71,2432.49,2452.46,2466.19,2508.3,2582.7,2657.48,2750.99,2842.75,2883.98,2876.76,2822.04,2809.53,2806.56,2819.1,2916.7,2927.58,2960.14,3098.55,3119.87,3138.77,3204.86,3322.52,3470.6,3672.78,3848.01,3886.57,3889.61,3898.69,3902.41,3976.06,4133.38,4343.22,4342.06,4294.01,4243.12,4194.51,4151.5,4118.47,4096.03,4088,4194.42,4308.37,4371.54,4406.77,4538.69,4617.92,4743.27,4749.27,4676.2,4712.46,4686.59,4719.21,4848.38,4970.58,4979.23,5058.89,5127.67,5206.34,5320.47,5418.8,5479.9,5473.2,5372.68,5554.86,5701.66,5847.18,5984.57,6036.37,6076.36,6084.49,6061.46,6026.1,5980.76,5949.48,5899.66,5827.3,5759.18,5690.68,5615.48,5543.65,5474.02,5321.25,5245.9,5173.99,5161.69,5150.49,5147.95,5156.37,5186.6,5181.23,5210.58,5262.78,5270.33,5238.97,5221.9,5220.82,5260.46,5274.48,5311.37,5352.21,5428.38,5466.3,5466.3
신사동,강남구,2185.79,2190.15,2193.54,2184.02,2172.71,2153,2145.54,2142.72,2139.89,2137.07,2134.14,2105.64,2115.34,2116.3,2115.6,2100.84,2104.72,2105.57,2110.97,2113.67,2111.35,2117.85,2124.84,2121.68,2125.93,2130.56,2137.28,2142.78,2148.16,2151.06,2152.7,2154.34,2155.41,2156.12,2154.54,2173.94,2180.25,2186.65,2187.52,2188.01,2187.96,2187.9,2183.61,2184.04,2182.25,2180.47,2179.14,2180.51,2180.14,2179.72,2177.8,2167.63,2160.74,2155.61,2150.31,2141.24,2131.5,2125.4,2118.81,2109.97,2112.72,2109.46,2116.1,2122.77,2110.58,2118.1,2120.19,2125.14,2130.81,2130.22,2132.17,2134,2139.24,2144.91,2165.88,2192.26,2209.14,2220.02,2213.39,2230.68,2234.77,2242.95,2270.13,2283.14,2289.78,2300.3,2309.66,2319.82,2331.75,2346.15,2357.65,2369.4,2376.75,2386.14,2395.73,2407.67,2429.31,2451.82,2474.32,2496.27,2524.63,2554.24,2576.07,2589.21,2611.29,2614.18,2625.1,2625.72,2626.34,2628.96,2624.8,2653.24,2677.1,2701.49,2722.36,2741.76,2756.59,2770.68,2788.21,2809.83,2837.87,2867.63,2901.62,2935.29,2968.96,3002.47,3026.68,3058.14,3088.33,3098.99,3108.65,3117.43,3126.21,3137.02,3147.57,3158.38,3169.19,3183.48,3199.42,3247.72,3266.01,3293.4,3316.55,3386.26,3407.32,3432.39,3460.82,3493.53,3526.28,3559.21,3595.64,3621.35,3646.48,3671.64,3691.4,3698.21,3726.45,3756.68,3786.75,3820.64,3849.54,3868.92,3909.5,3949.88,3988.95,4021.97,4054.94,4087.9,4118.01,4138.12,4158.24,4175.06,4191.89,4208.67,4225.45,4237.03,4254.12,4271.22,4288.25,4305.3,4322.11,4338.9,4355.32,4369.26,4377.86,4385.87,4393.89,4401.15,4406.17,4409.72,4411.29,4412.86,4414.76,4416.5,4418.09,4419.67,4422.06,4424.44,4425.08,4425.08
압구정동,강남구,4231.14,4254.73,4288.68,4267.69,4219.12,4165.41,4092.52,4033.04,3997.65,3931.64,3867.93,3793.87,3792.4,3949.24,4030.25,4163.82,4190.83,4250.06,4311.9,4329.42,4339.01,4332.23,4308.62,4318.77,4351.32,4319.61,4285.04,4221.22,4201.84,4156.13,4110.83,4072.03,4048.23,4036.25,4056.35,4079.44,4114,4130.15,4126.41,4087.31,4046.89,4013.4,3999.41,3968.08,3927.28,3871.14,3815.59,3749.48,3676.15,3617.21,3555.38,3511.1,3493.72,3456.27,3417.36,3391.38,3338.06,3304.31,3272.13,3266.66,3272.35,3335.84,3390.22,3417.11,3424.44,3440.75,3434.88,3436.53,3465.09,3487.98,3493.55,3493.32,3524.83,3605.2,3667.86,3696.5,3705.84,3728.84,3753.79,3820.11,3844.49,3864.04,3860.11,3861.53,3872.83,3900.47,3951.81,3978.65,3996.16,4012.98,4029.2,4046.7,4073.03,4105.17,4131.48,4125.86,4129.99,4134.57,4150.86,4213.35,4313.01,4442.61,4565.38,4749.11,4848.03,4905.01,4910.95,4923.79,4964.09,4979.47,5050.87,5155,5254.32,5328.21,5388.44,5402.39,5446.46,5553.58,5682.87,5877.42,6127.1,6193.07,6205.81,6210.02,6207.02,6195.74,6245.61,6345.16,6416.52,6382.24,6340.87,6302.19,6257.47,6220.56,6208.75,6215.17,6314.91,6461.86,6661.43,6780.86,6878.39,7010.14,7108.32,7124.69,7082.48,7024.67,6989.29,6927.56,6939.02,7110.61,7252.03,7428.39,7493.87,7542.75,7628.4,7814.29,8146.23,8376.48,8651.82,8907.18,9021.25,9135.31,9248.14,9360.88,9465.12,9560.06,9642.27,9713.12,9776.3,9835.07,9880.26,9969.88,9980.68,9974.35,9940.61,9887.83,9835.04,9783.54,9732.03,9690.81,9725.47,9775.82,9813.99,9871.45,9925.7,10041.92,10211.46,10351.79,10437.67,10502.49,10517.91,10486.88,10516.05,10531.54,10601.35,10666.14,10769.9,10823.48,10879.41,10879.41
역삼동,강남구,2409.87,2413.17,2404.4,2409.16,2392.5,2385.26,2372.93,2355.75,2320.57,2286.71,2253.57,2211.41,2217.99,2276.06,2288.85,2330.32,2358.56,2372.43,2382.4,2413.13,2428.47,2422.77,2405.08,2389.53,2413.79,2415.06,2408.96,2427.5,2369.86,2367.82,2380.14,2375.57,2366.49,2361.04,2390.35,2412.17,2454.79,2474.48,2456.72,2408.05,2446.33,2454.16,2451.15,2442.42,2446.83,2448,2443.64,2438.29,2422.15,2392.47,2373,2371.96,2376.82,2341.62,2340.66,2333.37,2335,2337.77,2326.16,2338.05,2342.1,2350.38,2339.25,2350.22,2342.85,2354.88,2360.65,2356.38,2356.09,2359.75,2366.41,2381.78,2406.79,2451.01,2447.92,2443.46,2445.19,2445.69,2460.35,2490.2,2514.87,2523.61,2534.34,2553.54,2561.52,2577.37,2608.34,2621.14,2634.31,2672.48,2699.37,2703.45,2717.71,2738.43,2760.21,2763.84,2768.03,2756.46,2747.09,2767.18,2784.71,2808.17,2825.28,2842.18,2881.36,2928.03,2929.39,2931.45,2947.58,2959.56,2976.18,3001.25,3055.72,3128.22,3212.09,3254.87,3327.36,3376.9,3450.57,3567.97,3711.76,3769.99,3842.46,3885.2,3923.43,3962.6,3993.87,4075.2,4187.6,4189.64,4188.66,4187.09,4187.78,4192.45,4201.18,4210.88,4253.28,4333.42,4457.83,4568.19,4570.09,4750.32,4837.37,4936.16,4934.85,4947.91,4974.31,4994.42,5047,5173.66,5270.27,5340.55,5387.42,5484.52,5511.55,5563.95,5661.36,5698.64,5728.2,5729.38,5772.85,5819.1,5852.55,5885.65,5928.49,5930.38,5928.97,5927.75,5907.84,5903.34,5905.28,5899.14,5882.98,5862.39,5821.18,5779.98,5722.39,5714.7,5740.03,5723.08,5689.69,5661.55,5691.89,5716.2,5750.3,5792.8,5827.93,5855.55,5892.72,5896.81,5890.44,5859.97,5828.31,5833.65,5843.18,5867.41,5903.65,5942.3,5982.41,5982.41
