행정구역(동읍면)별,항목,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세
종로구,총인구수 (명),59924,9159,12397,10883,8356,9756,9373
종로구,남자인구수 (명),29041,4154,6032,5536,4062,4757,4500
종로구,여자인구수 (명),30883,5005,6365,5347,4294,4999,4873
중구,총인구수 (명),55163,6718,10732,11622,9361,9123,7607
중구,남자인구수 (명),26947,3062,4875,5736,4745,4613,3916
중구,여자인구수 (명),28216,3656,5857,5886,4616,4510,3691
용산구,총인구수 (명),97672,11479,18058,20640,16484,16627,14384
용산구,남자인구수 (명),47244,5132,8374,10249,8167,8334,6988
용산구,여자인구수 (명),50428,6347,9684,10391,8317,8293,7396
성동구,총인구수 (명),127008,17045,23666,23954,21599,22036,18708
성동구,남자인구수 (명),62425,8042,11657,11672,10621,11234,9199
성동구,여자인구수 (명),64583,9003,12009,12282,10978,10802,9509
광진구,총인구수 (명),161362,22947,35745,31452,23215,24811,23192
광진구,남자인구수 (명),77990,10469,16717,15780,11520,12080,11424
광진구,여자인구수 (명),83372,12478,19028,15672,11695,12731,11768
동대문구,총인구수 (명),154769,26061,30822,26631,22669,25639,22947
동대문구,남자인구수 (명),77410,11630,15432,13712,11616,13184,11836
동대문구,여자인구수 (명),77359,14431,15390,12919,11053,12455,11111
중랑구,총인구수 (명),160587,19408,30368,31704,26004,28197,24906
중랑구,남자인구수 (명),80869,9175,14649,15965,13385,14825,12870
중랑구,여자인구수 (명),79718,10233,15719,15739,12619,13372,12036
성북구,총인구수 (명),183115,31671,32820,28975,26604,31954,31091
성북구,남자인구수 (명),89196,14305,16068,14782,13097,15845,15099
성북구,여자인구수 (명),93919,17366,16752,14193,13507,16109,15992
강북구,총인구수 (명),111991,16707,21061,19001,15704,19646,19872
강북구,남자인구수 (명),56683,7603,10373,9966,8283,10368,10090
강북구,여자인구수 (명),55308,9104,10688,9035,7421,9278,9782
도봉구,총인구수 (명),116947,16531,20706,20036,17370,21362,20942
도봉구,남자인구수 (명),58908,8074,10426,10314,8857,10895,10342
도봉구,여자인구수 (명),58039,8457,10280,9722,8513,10467,10600
노원구,총인구수 (명),201435,33275,32713,31670,28874,36593,38310
노원구,남자인구수 (명),99615,16782,16676,15877,14524,17601,18155
노원구,여자인구수 (명),101820,16493,16037,15793,14350,18992,20155
은평구,총인구수 (명),197476,25624,35909,36016,30013,35807,34107
은평구,남자인구수 (명),95327,12267,16374,17491,14728,17838,16629
은평구,여자인구수 (명),102149,13357,19535,18525,15285,17969,17478
서대문구,총인구수 (명),137025,21572,26837,23921,20637,22906,21152
서대문구,남자인구수 (명),66211,9510,12954,11861,10109,11398,10379
서대문구,여자인구수 (명),70814,12062,13883,12060,10528,11508,10773
마포구,총인구수 (명),179185,23313,35442,34768,28788,29898,26976
마포구,남자인구수 (명),83223,10133,15551,16455,13594,14531,12959
마포구,여자인구수 (명),95962,13180,19891,18313,15194,15367,14017
양천구,총인구수 (명),177191,23777,28178,27340,25373,35655,36868
양천구,남자인구수 (명),87013,12034,14064,13853,12333,16941,17788
양천구,여자인구수 (명),90178,11743,14114,13487,13040,18714,19080
강서구,총인구수 (명),260984,29302,49353,53490,42584,45870,40385
강서구,남자인구수 (명),126753,13540,21986,26273,21665,23298,19991
강서구,여자인구수 (명),134231,15762,27367,27217,20919,22572,20394
구로구,총인구수 (명),169543,19895,30591,32740,28166,30445,27706
구로구,남자인구수 (명),85077,9550,14793,16441,14563,15679,14051
구로구,여자인구수 (명),84466,10345,15798,16299,13603,14766,13655
금천구,총인구수 (명),102266,11581,23384,22370,15557,15308,14066
금천구,남자인구수 (명),53493,5426,11487,12196,8639,8371,7374
금천구,여자인구수 (명),48773,6155,11897,10174,6918,6937,6692
영등포구,총인구수 (명),181897,19398,37619,39978,30972,29160,24770
영등포구,남자인구수 (명),89369,8629,17084,19962,15950,15135,12609
영등포구,여자인구수 (명),92528,10769,20535,20016,15022,14025,12161
동작구,총인구수 (명),177364,25690,37818,33314,26186,28298,26058
동작구,남자인구수 (명),88139,12032,18637,16969,13299,14293,12909
동작구,여자인구수 (명),89225,13658,19181,16345,12887,14005,13149
관악구,총인구수 (명),257166,35829,71443,55499,32970,32275,29150
관악구,남자인구수 (명),134591,16101,35932,31154,18407,17575,15422
관악구,여자인구수 (명),122575,19728,35511,24345,14563,14700,13728
서초구,총인구수 (명),178858,22006,27732,28967,27844,36350,35959
서초구,남자인구수 (명),83385,10558,13097,13755,12513,16633,16829
서초구,여자인구수 (명),95473,11448,14635,15212,15331,19717,19130
강남구,총인구수 (명),248708,28874,38773,41592,38096,50573,50800
강남구,남자인구수 (명),115579,13946,17885,19947,17285,22592,23924
강남구,여자인구수 (명),133129,14928,20888,21645,20811,27981,26876
송파구,총인구수 (명),295303,33810,50263,54947,49730,57082,49471
송파구,남자인구수 (명),141092,16395,23069,26254,23758,27407,24209
송파구,여자인구수 (명),154211,17415,27194,28693,25972,29675,25262
강동구,총인구수 (명),199603,22692,33635,35089,33216,39958,35013
강동구,남자인구수 (명),98203,11232,15885,17281,16434,19703,17668
강동구,여자인구수 (명),101400,11460,17750,17808,16782,20255,17345
