행정구역(동읍면)별,항목,계,25 - 29세,30 - 34세,35 - 39세
종로구,총인구수 (명),31636,12397,10883,8356
종로구,남자인구수 (명),15630,6032,5536,4062
종로구,여자인구수 (명),16006,6365,5347,4294
중구,총인구수 (명),31715,10732,11622,9361
중구,남자인구수 (명),15356,4875,5736,4745
중구,여자인구수 (명),16359,5857,5886,4616
용산구,총인구수 (명),55182,18058,20640,16484
용산구,남자인구수 (명),26790,8374,10249,8167
용산구,여자인구수 (명),28392,9684,10391,8317
성동구,총인구수 (명),69219,23666,23954,21599
성동구,남자인구수 (명),33950,11657,11672,10621
성동구,여자인구수 (명),35269,12009,12282,10978
광진구,총인구수 (명),90412,35745,31452,23215
광진구,남자인구수 (명),44017,16717,15780,11520
광진구,여자인구수 (명),46395,19028,15672,11695
동대문구,총인구수 (명),80122,30822,26631,22669
동대문구,남자인구수 (명),40760,15432,13712,11616
동대문구,여자인구수 (명),39362,15390,12919,11053
중랑구,총인구수 (명),88076,30368,31704,26004
중랑구,남자인구수 (명),43999,14649,15965,13385
중랑구,여자인구수 (명),44077,15719,15739,12619
성북구,총인구수 (명),88399,32820,28975,26604
성북구,남자인구수 (명),43947,16068,14782,13097
성북구,여자인구수 (명),44452,16752,14193,13507
강북구,총인구수 (명),55766,21061,19001,15704
강북구,남자인구수 (명),28622,10373,9966,8283
강북구,여자인구수 (명),27144,10688,9035,7421
도봉구,총인구수 (명),58112,20706,20036,17370
도봉구,남자인구수 (명),29597,10426,10314,8857
도봉구,여자인구수 (명),28515,10280,9722,8513
노원구,총인구수 (명),93257,32713,31670,28874
노원구,남자인구수 (명),47077,16676,15877,14524
노원구,여자인구수 (명),46180,16037,15793,14350
은평구,총인구수 (명),101938,35909,36016,30013
은평구,남자인구수 (명),48593,16374,17491,14728
은평구,여자인구수 (명),53345,19535,18525,15285
서대문구,총인구수 (명),71395,26837,23921,20637
서대문구,남자인구수 (명),34924,12954,11861,10109
서대문구,여자인구수 (명),36471,13883,12060,10528
마포구,총인구수 (명),98998,35442,34768,28788
마포구,남자인구수 (명),45600,15551,16455,13594
마포구,여자인구수 (명),53398,19891,18313,15194
양천구,총인구수 (명),80891,28178,27340,25373
양천구,남자인구수 (명),40250,14064,13853,12333
양천구,여자인구수 (명),40641,14114,13487,13040
강서구,총인구수 (명),145427,49353,53490,42584
강서구,남자인구수 (명),69924,21986,26273,21665
강서구,여자인구수 (명),75503,27367,27217,20919
구로구,총인구수 (명),91497,30591,32740,28166
구로구,남자인구수 (명),45797,14793,16441,14563
구로구,여자인구수 (명),45700,15798,16299,13603
금천구,총인구수 (명),61311,23384,22370,15557
금천구,남자인구수 (명),32322,11487,12196,8639
금천구,여자인구수 (명),28989,11897,10174,6918
영등포구,총인구수 (명),108569,37619,39978,30972
영등포구,남자인구수 (명),52996,17084,19962,15950
영등포구,여자인구수 (명),55573,20535,20016,15022
동작구,총인구수 (명),97318,37818,33314,26186
동작구,남자인구수 (명),48905,18637,16969,13299
동작구,여자인구수 (명),48413,19181,16345,12887
관악구,총인구수 (명),159912,71443,55499,32970
관악구,남자인구수 (명),85493,35932,31154,18407
관악구,여자인구수 (명),74419,35511,24345,14563
서초구,총인구수 (명),84543,27732,28967,27844
서초구,남자인구수 (명),39365,13097,13755,12513
서초구,여자인구수 (명),45178,14635,15212,15331
강남구,총인구수 (명),118461,38773,41592,38096
강남구,남자인구수 (명),55117,17885,19947,17285
강남구,여자인구수 (명),63344,20888,21645,20811
송파구,총인구수 (명),154940,50263,54947,49730
송파구,남자인구수 (명),73081,23069,26254,23758
송파구,여자인구수 (명),81859,27194,28693,25972
강동구,총인구수 (명),101940,33635,35089,33216
강동구,남자인구수 (명),49600,15885,17281,16434
강동구,여자인구수 (명),52340,17750,17808,16782
